,title,price,link
0,"Lenovo IdeaPad Slim 3, AMD Ryzen 7 8840HS, 24GB RAM, 1TB SSD, WUXGA IPS, AI PC, 15.3""/38.8cm, Backlit Keyboard, Windows 11, Office Home 2024, Grey, 1.6Kg, 1Yr ADP Free, 83KA004TIN, AI Powered Laptop","83,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxMTY0NjUyMjMxNjc3MDY4OjE3NzYyNjMxMTY6c3BfYXRmOjMwMDYxOTUzMjE1OTAzMjo6MDo6&url=%2FLenovo-IdeaPad-Windows-Keyboard-83KA004TIN%2Fdp%2FB0FCYB67QJ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1PEV1D2F313P7%26dib%3DeyJ2IjoiMSJ9.VTMo5l5z5jgIKr5bjMI3Gtu72H36YW5QjAswJfrrPkeuJoAJzo8ZiGlSVVXBrZrsNoJDJQ6EwzBbMU2IIIpSUw7LZmW6anPWxuBkT6msrTnXdPSKrjc-8d7IwPUTcil4rJwky_16btJos7r_XYr1M04UcGBnHmt2Uruz2M7KuEJx6ct1HFW6_3F7aTDfz8CSOuo_CZQpA4QasHxuaKBM-lY4XVx55w2-XzQKlZ3ZC6Y.umzDBpDtdZUtDBH_xKSOHU8kfqmk8sy_NmqdRTWhTrU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776263116%26sprefix%3Dlapto%252Caps%252C520%26sr%3D8-1-spons%26aref%3DrkbT7NNf8l%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=rkbT7NNf8l&sp_cr=ZAZ
1,"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB/512GB SSD/Windows 11/Microsoft 365 Basic + Office Home 2024/Backlit Keyboard/Grey/1.6Kg), 82XQ00XDIN","49,999",https://amazon.in/sspa/click?ie=UTF8&spc=MToxMTY0NjUyMjMxNjc3MDY4OjE3NzYyNjMxMTY6c3BfYXRmOjMwMDA0MzY5NjM3OTAzMjo6MDo6&url=%2FLenovo-Ideapad-Backlit-Keyboard-82XQ008VIN%2Fdp%2FB0CD4BQ4SF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1PEV1D2F313P7%26dib%3DeyJ2IjoiMSJ9.VTMo5l5z5jgIKr5bjMI3Gtu72H36YW5QjAswJfrrPkeuJoAJzo8ZiGlSVVXBrZrsNoJDJQ6EwzBbMU2IIIpSUw7LZmW6anPWxuBkT6msrTnXdPSKrjc-8d7IwPUTcil4rJwky_16btJos7r_XYr1M04UcGBnHmt2Uruz2M7KuEJx6ct1HFW6_3F7aTDfz8CSOuo_CZQpA4QasHxuaKBM-lY4XVx55w2-XzQKlZ3ZC6Y.umzDBpDtdZUtDBH_xKSOHU8kfqmk8sy_NmqdRTWhTrU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776263116%26sprefix%3Dlapto%252Caps%252C520%26sr%3D8-2-spons%26aref%3D58LghLGN8a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=58LghLGN8a&sp_cr=ZAZ
2,"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 14"", 60Hz,42WHrs, Windows 11, M365 Basic (1Year)*,Office Home 2024, Mixed Black, 1.38 kg, E1404FA-EB774WS, Thin & Light Laptop","52,990",https://amazon.in/ASUS-Vivobook-Windows-Backlit-E1404FA-NK5542WS/dp/B0FN9FV4ZZ/ref=sr_1_6?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.VTMo5l5z5jgIKr5bjMI3Gtu72H36YW5QjAswJfrrPkeuJoAJzo8ZiGlSVVXBrZrsNoJDJQ6EwzBbMU2IIIpSUw7LZmW6anPWxuBkT6msrTnXdPSKrjc-8d7IwPUTcil4rJwky_16btJos7r_XYr1M04UcGBnHmt2Uruz2M7KuEJx6ct1HFW6_3F7aTDfz8CSOuo_CZQpA4QasHxuaKBM-lY4XVx55w2-XzQKlZ3ZC6Y.umzDBpDtdZUtDBH_xKSOHU8kfqmk8sy_NmqdRTWhTrU&dib_tag=se&keywords=laptop&qid=1776263116&sprefix=lapto%2Caps%2C520&sr=8-6
3,"Dell Inspiron 15 DC15250 Laptop (Intel Core 3-100U, 8GB DDR5 RAM, 512GB SSD, 15.6"" Full HD Display, Windows 11 Home, MS Office 2024 + Microsoft 365, Carbon Black, 1 Year NBD Warranty)","45,875",https://amazon.in/Dell-Inspiron-DC15250-Microsoft-Warranty/dp/B0GS2VW9MN/ref=sr_1_63?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc&dib_tag=se&keywords=laptop&qid=1776263138&sprefix=lapto%2Caps%2C520&sr=8-63
4,"HP 15, Intel Core 5-120U(16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, FD0682TU, FHD Camera w/Privacy Shutter, Backlit Laptop","60,390",https://amazon.in/HP-Anti-Glare-Micro-Edge-FD0682TU-Privacy/dp/B0GF82QJT6/ref=sr_1_64?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc&dib_tag=se&keywords=laptop&qid=1776263138&sprefix=lapto%2Caps%2C520&sr=8-64
5,"HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU","53,990",https://amazon.in/HP-15-6-inch-Graphics-Privacy-fc0031AU/dp/B0C3D8BZVQ/ref=sr_1_65?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc&dib_tag=se&keywords=laptop&qid=1776263138&sprefix=lapto%2Caps%2C520&sr=8-65
6,"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop","62,990",https://amazon.in/ASUS-Vivobook-i5-13420H-Keyboard-X1502VA-BQ836WS/dp/B0DTYKLHYC/ref=sr_1_66?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc&dib_tag=se&keywords=laptop&qid=1776263138&sprefix=lapto%2Caps%2C520&sr=8-66
7,"acer Aspire 3D 15 SpatialLabs Edition Gaming Laptop Intel Core i7-13620H Processor (16GB/1TB/NVIDIA RTX4050/Win11Home) A3D15-71GM, 39.6 cm(15.6"") UHD 3840 x 2160 IPS Display, Obsidian Black, 2.32KG","1,10,000",https://amazon.in/Acer-SpatialLabs-i7-13620H-Processor-A3D15-71GM/dp/B0D9LKSXQ6/ref=sr_1_67?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc&dib_tag=se&keywords=laptop&qid=1776263138&sprefix=lapto%2Caps%2C520&sr=8-67
8,"MSI Stealth 14 AI Studio, Intel Core Ultra 7 155H, Built-in AI,36CM 2.8K OLED 120Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB /Star Blue/1.7Kg), A1VGG-054IN","2,01,990.",https://amazon.in/MSI-Stealth-Windows-GeForce-A1VGG-054IN/dp/B0CV5CSRL2/ref=sr_1_68?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc&dib_tag=se&keywords=laptop&qid=1776263138&sprefix=lapto%2Caps%2C520&sr=8-68
9,"Dell 15 Laptop, 14th Gen Intel Core 3 100U Processor, 16GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","59,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODU4NDIwMTkxOTQ5NDE6MTc3NjI2MzEzODpzcF9idGY6MzAxMDI3MzI2MTEwNDMyOjowOjo&url=%2FDell-Laptop-Processor-Graphics-Display%2Fdp%2FB0GV1L119H%2Fref%3Dsr_1_69_sspa%3Fcrid%3D1PEV1D2F313P7%26dib%3DeyJ2IjoiMSJ9.zeDJFL01aPKyOzmdTsk8hPKPlfboiq4OyVJimK_XPxgdGjGNBAYhXsoIBIDCBa3DF5eHfmip3plOjoz8vZC1463L874NMV5RNp9wofyxe6vHriuEpO2-Vt-fwsinY6bAacjJ6eh7o_IGJbJIOYvaBKpqDzCES0LL6JqWMyQ6GXVCkr2eBobEyfmLuPy2EP5gXL3VJZuJmdY-pDrQ7AGNiG4Qq5IMF-B8QcXP4Zi3d4I.ihCMoBxUq6VL6VHy3nSViR4PwbIU6SRXpkVu0YoQymc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776263138%26sprefix%3Dlapto%252Caps%252C520%26sr%3D8-69-spons%26aref%3DpruKHNaaen%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=pruKHNaaen&sp_cr=ZAZ
